,,area,count,link,page,pk
313,313,北投區,10,http://www.chinatimes.com/realtimenews/20151023004240-260403,2,ltn00314
314,314,北投區,11,http://www.chinatimes.com/newspapers/20151023000550-260107,3,ltn00315
315,315,北投區,12,http://www.chinatimes.com/newspapers/20151022000397-260102,3,ltn00316
316,316,北投區,13,http://www.chinatimes.com/newspapers/20151022000172-260210,3,ltn00317
317,317,北投區,14,http://www.chinatimes.com/newspapers/20151021000077-260202,3,ltn00318
318,318,北投區,15,http://www.chinatimes.com/realtimenews/20151020002029-260405,3,ltn00319
319,319,北投區,16,http://www.chinatimes.com/newspapers/20151020000432-260102,3,ltn00320
320,320,北投區,17,http://www.chinatimes.com/newspapers/20151020000488-260102,4,ltn00321
321,321,北投區,18,http://www.chinatimes.com/newspapers/20151019000021-260202,4,ltn00322
322,322,北投區,19,http://www.chinatimes.com/newspapers/20151019000325-260114,4,ltn00323
323,323,北投區,20,http://www.chinatimes.com/realtimenews/20151016005018-260402,4,ltn00324
324,324,北投區,21,http://www.chinatimes.com/realtimenews/20151014002757-260410,4,ltn00325
325,325,北投區,22,http://www.chinatimes.com/newspapers/20151015000124-260204,4,ltn00326
326,326,北投區,23,http://www.chinatimes.com/newspapers/20151015000415-260102,4,ltn00327
327,327,北投區,24,http://www.chinatimes.com/realtimenews/20151014002170-260410,4,ltn00328
328,328,北投區,25,http://www.chinatimes.com/newspapers/20151014000240-260206,4,ltn00329
329,329,北投區,26,http://www.chinatimes.com/newspapers/20151013000490-260102,4,ltn00330
330,330,北投區,27,http://www.chinatimes.com/newspapers/20151011000242-260102,5,ltn00331
331,331,北投區,28,http://www.chinatimes.com/newspapers/20151010000234-260102,5,ltn00332
332,332,北投區,29,http://www.chinatimes.com/newspapers/20151009000538-260107,5,ltn00333
333,333,北投區,30,http://www.chinatimes.com/realtimenews/20151009001280-260401,5,ltn00334
334,334,北投區,31,http://www.chinatimes.com/newspapers/20151008000430-260106,5,ltn00335
335,335,北投區,32,http://www.chinatimes.com/newspapers/20151007000436-260102,5,ltn00336
336,336,北投區,33,http://www.chinatimes.com/realtimenews/20151005004374-260409,5,ltn00337
337,337,北投區,34,http://www.chinatimes.com/newspapers/20151006000337-260208,5,ltn00338
338,338,北投區,35,http://www.chinatimes.com/newspapers/20151005000346-260102,6,ltn00339
339,339,北投區,36,http://www.chinatimes.com/realtimenews/20151004001626-260403,6,ltn00340
340,340,北投區,37,http://www.chinatimes.com/newspapers/20151005000317-260102,6,ltn00341
341,341,北投區,38,http://www.chinatimes.com/newspapers/20151003000525-260107,6,ltn00342
342,342,北投區,39,http://www.chinatimes.com/realtimenews/20151001003212-260401,6,ltn00343
343,343,北投區,40,http://www.chinatimes.com/newspapers/20151002000193-260204,6,ltn00344
344,344,北投區,41,http://www.chinatimes.com/realtimenews/20150929001305-260401,7,ltn00345
345,345,北投區,42,http://www.chinatimes.com/realtimenews/20150929001505-260405,7,ltn00346
346,346,北投區,43,http://www.chinatimes.com/realtimenews/20150929001439-260401,7,ltn00347
347,347,北投區,44,http://www.chinatimes.com/newspapers/20150930000518-260107,7,ltn00348
348,348,北投區,45,http://www.chinatimes.com/realtimenews/20150929000036-260405,7,ltn00349
349,349,北投區,46,http://www.chinatimes.com/realtimenews/20150929001289-260401,7,ltn00350
350,350,北投區,47,http://www.chinatimes.com/newspapers/20150929000329-260102,7,ltn00351
351,351,北投區,48,http://www.chinatimes.com/realtimenews/20150929001142-260401,7,ltn00352
352,352,北投區,49,http://www.chinatimes.com/realtimenews/20150928002312-260401,7,ltn00353
353,353,內湖區,1,http://www.chinatimes.com/realtimenews/20150928002589-260405,1,ltn00354
354,354,內湖區,2,http://www.chinatimes.com/realtimenews/20150928000960-260401,1,ltn00355
355,355,內湖區,3,http://www.chinatimes.com/newspapers/20150925000203-260204,1,ltn00356
356,356,內湖區,4,http://www.chinatimes.com/newspapers/20150925000504-260106,1,ltn00357
357,357,內湖區,5,http://www.chinatimes.com/newspapers/20150923000905-260309,1,ltn00358
358,358,內湖區,6,http://www.chinatimes.com/newspapers/20150922000547-260102,1,ltn00359
359,359,內湖區,7,http://www.chinatimes.com/newspapers/20151024000264-260210,2,ltn00360
360,360,內湖區,8,http://www.chinatimes.com/newspapers/20151024000266-260210,2,ltn00361
361,361,內湖區,9,http://www.chinatimes.com/newspapers/20151023000438-260106,2,ltn00362
362,362,內湖區,10,http://www.chinatimes.com/realtimenews/20151021004212-260402,2,ltn00363
363,363,內湖區,11,http://www.chinatimes.com/realtimenews/20151020004599-260403,2,ltn00364
364,364,內湖區,12,http://www.chinatimes.com/realtimenews/20151019003091-260402,2,ltn00365
365,365,內湖區,13,http://www.chinatimes.com/realtimenews/20151015002411-260410,2,ltn00366
366,366,內湖區,14,http://www.chinatimes.com/newspapers/20151016000688-260102,2,ltn00367
367,367,內湖區,15,http://www.chinatimes.com/realtimenews/20151015003895-260407,2,ltn00368
368,368,內湖區,16,http://www.chinatimes.com/realtimenews/20151013004934-260407,2,ltn00369
369,369,內湖區,17,http://www.chinatimes.com/cn/realtimenews/20151013004934-260407,3,ltn00370
370,370,內湖區,18,http://www.chinatimes.com/realtimenews/20151013004420-260410,3,ltn00371
371,371,內湖區,19,http://www.chinatimes.com/realtimenews/20151012004820-260402,3,ltn00372
372,372,內湖區,20,http://www.chinatimes.com/newspapers/20151013000140-260204,3,ltn00373
373,373,內湖區,21,http://www.chinatimes.com/newspapers/20151011000748-260309,3,ltn00374
374,374,內湖區,22,http://www.chinatimes.com/newspapers/20151009000335-260106,3,ltn00375
375,375,內湖區,23,http://www.chinatimes.com/realtimenews/20151008003661-260402,3,ltn00376
376,376,內湖區,24,http://www.chinatimes.com/realtimenews/20151006003227-260410,3,ltn00377
377,377,內湖區,25,http://www.chinatimes.com/realtimenews/20151003004088-260409,4,ltn00378
378,378,內湖區,26,http://www.chinatimes.com/newspapers/20151003000101-260210,4,ltn00379
379,379,內湖區,27,http://www.chinatimes.com/newspapers/20151001000554-260107,4,ltn00380
380,380,內湖區,28,http://www.chinatimes.com/newspapers/20150930000354-260102,4,ltn00381
381,381,內湖區,29,http://www.chinatimes.com/realtimenews/20150929001505-260405,4,ltn00382
382,382,內湖區,30,http://www.chinatimes.com/realtimenews/20150928001600-260402,4,ltn00383
383,383,內湖區,31,http://www.chinatimes.com/newspapers/20150929000329-260102,4,ltn00384
384,384,內湖區,32,http://www.chinatimes.com/newspapers/20150926000452-260102,4,ltn00385
385,385,內湖區,33,http://www.chinatimes.com/newspapers/20150925000690-260107,5,ltn00386
386,386,內湖區,34,http://www.chinatimes.com/newspapers/20150923000146-260204,5,ltn00387
387,387,內湖區,35,http://www.chinatimes.com/newspapers/20150923000922-260302,5,ltn00388
388,388,內湖區,36,http://www.chinatimes.com/newspapers/20150923000359-260102,5,ltn00389
389,389,內湖區,37,http://www.chinatimes.com/realtimenews/20150922004088-260401,5,ltn00390
390,390,內湖區,38,http://www.chinatimes.com/newspapers/20150923000397-260102,5,ltn00391
391,391,內湖區,39,http://www.chinatimes.com/realtimenews/20150921004560-260401,5,ltn00392
392,392,內湖區,40,http://www.chinatimes.com/newspapers/20150921000348-260102,6,ltn00393
393,393,內湖區,41,http://www.chinatimes.com/realtimenews/20150920002518-260405,6,ltn00394
394,394,內湖區,42,http://www.chinatimes.com/newspapers/20150920000321-260114,6,ltn00395
395,395,內湖區,43,http://www.chinatimes.com/newspapers/20150919000728-260116,6,ltn00396
396,396,內湖區,44,http://www.chinatimes.com/newspapers/20150919000788-260116,6,ltn00397
397,397,內湖區,45,http://www.chinatimes.com/newspapers/20150918001049-260301,7,ltn00398
398,398,內湖區,46,http://www.chinatimes.com/realtimenews/20150916003101-260401,7,ltn00399
399,399,內湖區,47,http://www.chinatimes.com/newspapers/20150917000543-260107,7,ltn00400
400,400,內湖區,48,http://www.chinatimes.com/realtimenews/20150911003220-260405,7,ltn00401
401,401,內湖區,49,http://www.chinatimes.com/newspapers/20150912000432-260107,7,ltn00402
402,402,內湖區,50,http://www.chinatimes.com/realtimenews/20150909005501-260402,7,ltn00403
403,403,內湖區,51,http://www.chinatimes.com/realtimenews/20150906001858-260405,7,ltn00404
404,404,內湖區,52,http://www.chinatimes.com/newspapers/20150907000313-260102,7,ltn00405
405,405,內湖區,53,http://www.chinatimes.com/newspapers/20150907000319-260102,7,ltn00406
406,406,內湖區,54,http://www.chinatimes.com/realtimenews/20150903005139-260402,7,ltn00407
407,407,南港區,1,http://www.chinatimes.com/newspapers/20150903000587-260106,1,ltn00408
408,408,南港區,2,http://www.chinatimes.com/newspapers/20150902000662-260107,1,ltn00409
409,409,南港區,3,http://www.chinatimes.com/newspapers/20150902000303-260210,1,ltn00410
410,410,南港區,4,http://www.chinatimes.com/newspapers/20150830000617-260117,1,ltn00411
411,411,南港區,5,http://www.chinatimes.com/newspapers/20150829000361-260106,1,ltn00412
412,412,南港區,6,http://www.chinatimes.com/realtimenews/20150826005245-260402,1,ltn00413
413,413,南港區,7,http://www.chinatimes.com/newspapers/20151027000655-260107,2,ltn00414
414,414,南港區,8,http://www.chinatimes.com/newspapers/20151025000250-260102,2,ltn00415
415,415,南港區,9,http://www.chinatimes.com/newspapers/20151024000484-260107,2,ltn00416
416,416,南港區,10,http://www.chinatimes.com/newspapers/20151023000531-260107,2,ltn00417
417,417,南港區,11,http://www.chinatimes.com/realtimenews/20151022001961-260410,2,ltn00418
418,418,南港區,12,http://www.chinatimes.com/newspapers/20151023000522-260107,2,ltn00419
419,419,南港區,13,http://www.chinatimes.com/newspapers/20151022000391-260210,2,ltn00420
420,420,南港區,14,http://www.chinatimes.com/newspapers/20151022000953-260301,3,ltn00421
421,421,南港區,15,http://www.chinatimes.com/newspapers/20151022000177-260210,3,ltn00422
422,422,南港區,16,http://www.chinatimes.com/newspapers/20151021000380-260210,3,ltn00423
423,423,南港區,17,http://www.chinatimes.com/realtimenews/20151020002029-260405,3,ltn00424
424,424,南港區,18,http://www.chinatimes.com/newspapers/20151021000368-260210,3,ltn00425
425,425,南港區,19,http://www.chinatimes.com/newspapers/20151021000165-260204,3,ltn00426
426,426,南港區,20,http://www.chinatimes.com/newspapers/20151020000338-260208,3,ltn00427
427,427,南港區,21,http://www.chinatimes.com/newspapers/20151020000159-260210,3,ltn00428
428,428,南港區,22,http://www.chinatimes.com/newspapers/20151019000354-260106,3,ltn00429
429,429,南港區,23,http://www.chinatimes.com/newspapers/20151019000283-260210,3,ltn00430
430,430,南港區,24,http://www.chinatimes.com/newspapers/20151019000283-260210,4,ltn00431
431,431,南港區,25,http://www.chinatimes.com/newspapers/20151019000142-260204,4,ltn00432
432,432,南港區,26,http://www.chinatimes.com/realtimenews/20151017003772-260407,4,ltn00433
433,433,南港區,27,http://www.chinatimes.com/newspapers/20151016000688-260102,4,ltn00434
434,434,南港區,28,http://www.chinatimes.com/newspapers/20151015000582-260107,5,ltn00435
435,435,南港區,29,http://www.chinatimes.com/newspapers/20151015000124-260204,5,ltn00436
436,436,南港區,30,http://www.chinatimes.com/newspapers/20151014000400-260210,5,ltn00437
437,437,南港區,31,http://www.chinatimes.com/newspapers/20151014000596-260107,5,ltn00438
438,438,南港區,32,http://www.chinatimes.com/newspapers/20151014000205-260210,5,ltn00439
439,439,南港區,33,http://www.chinatimes.com/newspapers/20151014000208-260210,5,ltn00440
440,440,南港區,34,http://www.chinatimes.com/newspapers/20151014000365-260204,5,ltn00441
441,441,南港區,35,http://www.chinatimes.com/newspapers/20151013000300-260210,5,ltn00442
442,442,南港區,36,http://www.chinatimes.com/newspapers/20151011000270-260102,5,ltn00443
443,443,南港區,37,http://www.chinatimes.com/newspapers/20151010000234-260102,6,ltn00444
444,444,南港區,38,http://www.chinatimes.com/newspapers/20151009000466-260107,6,ltn00445
445,445,南港區,39,http://www.chinatimes.com/newspapers/20151009000555-260107,6,ltn00446
446,446,南港區,40,http://www.chinatimes.com/newspapers/20151008000304-260210,6,ltn00447
447,447,南港區,41,http://www.chinatimes.com/newspapers/20151008000352-260208,6,ltn00448
448,448,南港區,42,http://www.chinatimes.com/realtimenews/20151007005155-260410,6,ltn00449
449,449,南港區,43,http://www.chinatimes.com/newspapers/20151008000513-260102,6,ltn00450
450,450,南港區,44,http://www.chinatimes.com/newspapers/20151008000142-260204,6,ltn00451
451,451,南港區,45,http://www.chinatimes.com/newspapers/20151006000291-260210,7,ltn00452
452,452,南港區,46,http://www.chinatimes.com/newspapers/20151004000282-260106,7,ltn00453
453,453,南港區,47,http://www.chinatimes.com/newspapers/20151004000096-260207,7,ltn00454
454,454,南港區,48,http://www.chinatimes.com/newspapers/20151002000023-260202,7,ltn00455
455,455,南港區,49,http://www.chinatimes.com/realtimenews/20151001003212-260401,7,ltn00456
456,456,文山區,1,http://www.chinatimes.com/newspapers/20150930000317-260207,1,ltn00457
457,457,文山區,2,http://www.chinatimes.com/realtimenews/20150929001505-260405,1,ltn00458
458,458,文山區,3,http://www.chinatimes.com/realtimenews/20150928001131-260401,1,ltn00459
459,459,文山區,4,http://www.chinatimes.com/realtimenews/20150928001105-260401,1,ltn00460
460,460,文山區,5,http://www.chinatimes.com/realtimenews/20150928002312-260401,1,ltn00461
461,461,文山區,6,http://www.chinatimes.com/realtimenews/20150928000960-260401,1,ltn00462
462,462,文山區,7,http://www.chinatimes.com/newspapers/20150928000434-260112,1,ltn00463
463,463,文山區,8,http://www.chinatimes.com/newspapers/20150925000254-260210,1,ltn00464
464,464,文山區,9,http://www.chinatimes.com/newspapers/20151026000296-260102,2,ltn00465
465,465,文山區,10,http://www.chinatimes.com/realtimenews/20151024001746-260407,2,ltn00466
466,466,文山區,11,http://www.chinatimes.com/newspapers/20151025000419-260107,2,ltn00467
467,467,文山區,12,http://www.chinatimes.com/newspapers/20151025000234-260102,2,ltn00468
468,468,文山區,13,http://www.chinatimes.com/realtimenews/20151024003408-260402,2,ltn00469
469,469,文山區,14,http://www.chinatimes.com/realtimenews/20151022004518-260403,3,ltn00470
470,470,文山區,15,http://www.chinatimes.com/newspapers/20151023000522-260107,3,ltn00471
471,471,文山區,16,http://www.chinatimes.com/newspapers/20151023000582-260107,3,ltn00472
472,472,文山區,17,http://www.chinatimes.com/newspapers/20151023000634-260107,3,ltn00473
473,473,文山區,18,http://www.chinatimes.com/newspapers/20151022000953-260301,4,ltn00474
474,474,文山區,19,http://www.chinatimes.com/newspapers/20151022000397-260102,4,ltn00475
475,475,文山區,20,http://www.chinatimes.com/newspapers/20151022000415-260102,4,ltn00476
476,476,文山區,21,http://www.chinatimes.com/newspapers/20151022000526-260102,4,ltn00477
477,477,文山區,22,http://www.chinatimes.com/newspapers/20151022000627-260107,4,ltn00478
478,478,文山區,23,http://www.chinatimes.com/realtimenews/20151020002029-260405,4,ltn00479
479,479,文山區,24,http://www.chinatimes.com/newspapers/20151020000046-260202,4,ltn00480
480,480,文山區,25,http://www.chinatimes.com/newspapers/20151020000493-260102,5,ltn00481
481,481,文山區,26,http://www.chinatimes.com/realtimenews/20151019002374-260410,5,ltn00482
482,482,文山區,27,http://www.chinatimes.com/newspapers/20151019000021-260202,5,ltn00483
483,483,文山區,28,http://www.chinatimes.com/realtimenews/20151016005109-260405,6,ltn00484
484,484,文山區,29,http://www.chinatimes.com/realtimenews/20151016002929-260407,6,ltn00485
485,485,文山區,30,http://www.chinatimes.com/newspapers/20151017000519-260107,6,ltn00486
486,486,文山區,31,http://www.chinatimes.com/newspapers/20151016000688-260102,6,ltn00487
487,487,文山區,32,http://www.chinatimes.com/newspapers/20151016000119-260204,6,ltn00488
488,488,文山區,33,http://www.chinatimes.com/realtimenews/20151014002170-260410,7,ltn00489
489,489,文山區,34,http://www.chinatimes.com/realtimenews/20151014003867-260410,7,ltn00490
490,490,文山區,35,http://www.chinatimes.com/newspapers/20151014000596-260107,7,ltn00491
491,491,文山區,36,http://www.chinatimes.com/realtimenews/20151012004731-260402,7,ltn00492
492,492,文山區,37,http://www.chinatimes.com/realtimenews/20151010002269-260407,7,ltn00493
493,493,文山區,38,http://www.chinatimes.com/realtimenews/20151010004063-260402,7,ltn00494
